(-0.04, -0.04, -0.04)
(-0.04, -0.04, -0.05)
(-0.04, -0.05, -0.05)
(-0.05, -0.05, -0.05)
(-0.05, -0.05, -0.06)
(-0.05, -0.05, -0.06)
(-0.05, -0.06, -0.07)
(-0.05, -0.06, -0.07)
(-0.05, -0.06, -0.07)
(-0.05, -0.07, -0.08)
(-0.05, -0.07, -0.08)
(-0.06, -0.07, -0.08)
(-0.06, -0.07, -0.09)
(-0.06, -0.08, -0.09)
(-0.06, -0.08, -0.10)
(-0.06, -0.08, -0.10)
(-0.06, -0.08, -0.10)
(-0.06, -0.09, -0.11)
(-0.07, -0.09, -0.11)
(-0.07, -0.09, -0.12)
(-0.07, -0.09, -0.12)
(-0.07, -0.10, -0.12)
(-0.07, -0.10, -0.13)
(-0.07, -0.10, -0.13)
(-0.07, -0.10, -0.14)
(-0.07, -0.11, -0.14)
(-0.08, -0.11, -0.14)
(-0.08, -0.11, -0.15)
(-0.08, -0.12, -0.15)
(-0.08, -0.12, -0.16)
(-0.08, -0.12, -0.16)
(-0.08, -0.12, -0.16)
(-0.08, -0.13, -0.17)
(-0.08, -0.13, -0.17)
(-0.09, -0.13, -0.18)
(-0.09, -0.13, -0.18)
(-0.09, -0.14, -0.18)
(-0.09, -0.14, -0.19)
(-0.09, -0.14, -0.19)
(-0.09, -0.14, -0.20)
(-0.09, -0.15, -0.20)
(-0.10, -0.15, -0.20)
(-0.10, -0.15, -0.21)
(-0.10, -0.16, -0.21)
(-0.10, -0.16, -0.22)
(-0.10, -0.16, -0.22)
(-0.10, -0.16, -0.22)
(-0.10, -0.17, -0.23)
(-0.10, -0.17, -0.23)
(-0.11, -0.17, -0.23)
(-0.11, -0.17, -0.24)
(-0.11, -0.18, -0.24)
(-0.11, -0.18, -0.25)
(-0.11, -0.18, -0.25)
(-0.11, -0.18, -0.25)
(-0.11, -0.19, -0.26)
(-0.12, -0.19, -0.26)
(-0.12, -0.19, -0.27)
(-0.12, -0.19, -0.27)
(-0.12, -0.20, -0.27)
(-0.12, -0.20, -0.28)
(-0.12, -0.20, -0.28)
(-0.12, -0.21, -0.28)
(-0.12, -0.21, -0.29)
(-0.13, -0.21, -0.29)
(-0.13, -0.21, -0.29)
(-0.13, -0.22, -0.30)
(-0.13, -0.22, -0.30)
(-0.13, -0.22, -0.31)
(-0.13, -0.22, -0.31)
(-0.13, -0.23, -0.31)
(-0.14, -0.23, -0.32)
(-0.14, -0.23, -0.32)
(-0.14, -0.23, -0.32)
(-0.14, -0.24, -0.33)
(-0.14, -0.24, -0.33)
(-0.14, -0.24, -0.33)
(-0.14, -0.24, -0.34)
(-0.14, -0.25, -0.34)
(-0.15, -0.25, -0.34)
(-0.15, -0.25, -0.35)
(-0.15, -0.25, -0.35)
(-0.15, -0.26, -0.35)
(-0.15, -0.26, -0.36)
(-0.15, -0.26, -0.36)
(-0.15, -0.26, -0.36)
(-0.16, -0.27, -0.36)
(-0.16, -0.27, -0.37)
(-0.16, -0.27, -0.37)
(-0.16, -0.27, -0.37)
(-0.16, -0.28, -0.38)
(-0.16, -0.28, -0.38)
(-0.16, -0.28, -0.38)
(-0.16, -0.28, -0.39)
(-0.17, -0.29, -0.39)
(-0.17, -0.29, -0.39)
(-0.17, -0.29, -0.39)
(-0.17, -0.29, -0.40)
(-0.17, -0.30, -0.40)
(-0.17, -0.30, -0.40)
(-0.17, -0.30, -0.40)
(-0.17, -0.30, -0.41)
(-0.18, -0.31, -0.41)
(-0.18, -0.31, -0.41)
(-0.18, -0.31, -0.41)
(-0.18, -0.31, -0.42)
(-0.18, -0.31, -0.42)
(-0.18, -0.32, -0.42)
(-0.18, -0.32, -0.42)
(-0.19, -0.32, -0.42)
(-0.19, -0.32, -0.43)
(-0.19, -0.33, -0.43)
(-0.19, -0.33, -0.43)
(-0.19, -0.33, -0.43)
(-0.19, -0.33, -0.44)
(-0.19, -0.34, -0.44)
(-0.19, -0.34, -0.44)
(-0.20, -0.34, -0.44)
(-0.20, -0.34, -0.44)
(-0.20, -0.34, -0.44)
(-0.20, -0.35, -0.45)
(-0.20, -0.35, -0.45)
(-0.20, -0.35, -0.45)
(-0.20, -0.35, -0.45)
(-0.21, -0.35, -0.45)
(-0.21, -0.36, -0.45)
(-0.21, -0.36, -0.46)
(-0.21, -0.36, -0.46)
(-0.21, -0.36, -0.46)
(-0.21, -0.36, -0.46)
(-0.21, -0.37, -0.46)
(-0.21, -0.37, -0.46)
(-0.22, -0.37, -0.46)
(-0.22, -0.37, -0.46)
(-0.22, -0.37, -0.46)
(-0.22, -0.38, -0.47)
(-0.22, -0.38, -0.47)
(-0.22, -0.38, -0.47)
(-0.22, -0.38, -0.47)
(-0.22, -0.38, -0.47)
(-0.23, -0.39, -0.47)
(-0.23, -0.39, -0.47)
(-0.23, -0.39, -0.47)
(-0.23, -0.39, -0.47)
(-0.23, -0.39, -0.47)
(-0.23, -0.40, -0.47)
(-0.23, -0.40, -0.47)
(-0.23, -0.40, -0.47)
(-0.24, -0.40, -0.47)
(-0.24, -0.40, -0.47)
(-0.24, -0.40, -0.47)
(-0.24, -0.41, -0.47)
(-0.24, -0.41, -0.47)
(-0.24, -0.41, -0.47)
(-0.24, -0.41, -0.47)
(-0.25, -0.41, -0.47)
(-0.25, -0.41, -0.47)
(-0.25, -0.42, -0.47)
(-0.25, -0.42, -0.47)
(-0.25, -0.42, -0.47)
(-0.25, -0.42, -0.47)
(-0.25, -0.42, -0.47)
(-0.25, -0.42, -0.47)
(-0.26, -0.42, -0.47)
(-0.26, -0.43, -0.47)
(-0.26, -0.43, -0.47)
(-0.26, -0.43, -0.47)
(-0.26, -0.43, -0.47)
(-0.26, -0.43, -0.47)
(-0.26, -0.43, -0.47)
(-0.26, -0.43, -0.47)
(-0.27, -0.44, -0.47)
(-0.27, -0.44, -0.47)
(-0.27, -0.44, -0.47)
(-0.27, -0.44, -0.47)
(-0.27, -0.44, -0.47)
(-0.27, -0.44, -0.46)
(-0.27, -0.44, -0.46)
(-0.27, -0.44, -0.46)
(-0.28, -0.44, -0.46)
(-0.28, -0.45, -0.46)
(-0.28, -0.45, -0.46)
(-0.28, -0.45, -0.46)
(-0.28, -0.45, -0.46)
(-0.28, -0.45, -0.46)
(-0.28, -0.45, -0.45)
(-0.28, -0.45, -0.45)
(-0.28, -0.45, -0.45)
(-0.29, -0.45, -0.45)
(-0.29, -0.46, -0.45)
(-0.29, -0.46, -0.45)
(-0.29, -0.46, -0.45)
(-0.29, -0.46, -0.45)
(-0.29, -0.46, -0.44)
(-0.29, -0.46, -0.44)
(-0.29, -0.46, -0.44)
(-0.30, -0.46, -0.44)
(-0.30, -0.46, -0.44)
(-0.30, -0.46, -0.44)
(-0.30, -0.46, -0.43)
(-0.30, -0.46, -0.43)
(-0.30, -0.46, -0.43)
(-0.30, -0.47, -0.43)
(-0.30, -0.47, -0.43)
